geneId,diseaseId,score,ei,el,yearInitial,yearFinal,g_source
675,C0242379,0.80,0.83,NULL,2007,2018,ALL
675,C0346647,0.80,0.99,NULL,1996,2019,ALL
675,C0376358,0.90,0.95,strong,1996,2020,ALL
675,C0677776,0.80,0.99,strong,1990,2020,ALL
675,C0678222,0.70,0.95,NULL,1994,2020,ALL
675,C0919267,0.90,0.95,NULL,1994,2020,ALL
675,C1140680,0.80,0.95,strong,1994,2020,ALL
675,C1838457,0.92,1.00,definitive,2002,2018,ALL
675,C2675520,0.70,1.00,definitive,1988,2019,ALL
686,C0220754,1.00,0.99,definitive,1993,2019,ALL
688,C0009402,0.64,1.00,NULL,2011,2019,ALL
695,C0221026,1.00,0.96,NULL,1975,2020,ALL
695,C0472813,0.70,1.00,NULL,1994,2017,ALL
699,C0009402,0.70,1.00,NULL,2000,2018,ALL
701,C1850343,1.00,1.00,definitive,2004,2019,ALL
701,C1864389,0.64,1.00,NULL,2006,2014,ALL
708,C4540209,0.60,1.00,strong,2017,2017,ALL
710,C0019243,0.60,0.99,strong,1971,2020,ALL
710,C1852700,0.60,1.00,strong,1995,1995,ALL
710,C2717906,0.73,0.96,strong,1988,2018,ALL
717,C0242383,0.68,1.00,limited,2006,2018,ALL
717,C3150275,0.77,0.90,strong,1975,2010,ALL
718,C0242383,0.70,1.00,limited,2007,2020,ALL
718,C1332655,0.63,1.00,strong,1972,2013,ALL
718,C2752037,0.60,1.00,strong,2005,2016,ALL
718,C2931788,0.60,1.00,strong,2008,2019,ALL
718,C3151071,0.70,1.00,strong,1972,2016,ALL
720,C0024141,0.70,0.96,NULL,1987,2018,ALL
720,C3280642,0.55,1.00,strong,1990,2016,ALL
721,C0024141,0.60,0.94,NULL,1985,2019,ALL
721,C3280641,0.63,1.00,strong,1992,2016,ALL
727,C0343047,0.61,1.00,strong,1977,2015,ALL
745,C4748946,0.60,1.00,NULL,2018,2018,ALL
760,C0345407,0.99,1.00,strong,1985,2020,ALL
771,C1840437,0.70,1.00,NULL,2010,2016,ALL
773,C0014553,0.76,1.00,strong,1996,2020,ALL
773,C0752124,1.00,0.99,NULL,1997,2019,ALL
773,C1720416,1.00,0.99,NULL,1996,2019,ALL
773,C1832884,0.80,0.97,NULL,1996,2018,ALL
773,C4310716,0.70,1.00,NULL,1996,2017,ALL
775,C0005586,0.70,0.80,NULL,2008,2020,ALL
775,C1142166,0.57,1.00,disputed,1993,2019,ALL
775,C1269683,0.70,1.00,NULL,2010,2019,ALL
775,C1832916,1.00,0.97,strong,2004,2019,ALL
775,C2678478,0.70,1.00,NULL,2007,2018,ALL
776,C3554018,0.72,1.00,moderate,2004,2019,ALL
776,C3809609,0.71,1.00,NULL,2013,2018,ALL
778,C0268505,0.76,1.00,NULL,1989,2019,ALL
778,C0339535,0.70,1.00,strong,1993,2018,ALL
778,C1845407,0.61,1.00,NULL,2009,2015,ALL
778,C1848172,1.00,1.00,NULL,1998,2019,ALL
779,C0238358,0.70,1.00,NULL,1994,2018,ALL
779,C1866077,0.60,1.00,NULL,1994,2015,ALL
779,C3714580,0.80,0.97,NULL,1994,2018,ALL
783,C2678477,0.70,1.00,NULL,2005,2016,ALL
788,C0342791,0.77,1.00,definitive,1997,2019,ALL
790,C4225320,0.70,1.00,NULL,2015,2019,ALL
801,C1631597,0.74,1.00,strong,2009,2019,ALL
801,C3554047,0.60,1.00,strong,2005,2016,ALL
801,C4015671,0.70,1.00,strong,2005,2016,ALL
805,C4015695,0.70,1.00,strong,2013,2016,ALL
811,C0001815,0.80,0.93,limited,2013,2020,ALL
811,C0026987,0.60,0.93,limited,2013,2020,ALL
811,C0040028,0.60,0.97,NULL,2013,2020,ALL
823,C4310800,0.71,1.00,NULL,2016,2019,ALL
825,C1299884,0.62,1.00,NULL,2000,2010,ALL
825,C1869123,1.00,0.99,strong,1995,2019,ALL
831,C4225381,0.72,1.00,strong,2015,2019,ALL
836,C0002395,0.60,0.98,NULL,1999,2020,ALL
836,C0027051,0.60,1.00,NULL,2002,2019,ALL
836,C0038220,0.57,1.00,NULL,2006,2019,ALL
836,C0038525,0.60,0.96,NULL,2014,2019,ALL
836,C0243026,0.60,1.00,NULL,2005,2020,ALL
841,C0006142,0.60,0.98,NULL,2004,2019,ALL
841,C0678222,0.70,0.98,NULL,2004,2019,ALL
841,C1846545,0.94,1.00,strong,2002,2019,ALL
841,C2239176,0.90,1.00,NULL,1998,2019,ALL
843,C0024623,0.61,1.00,NULL,2002,2002,ALL
843,C1858968,0.73,1.00,strong,1999,2011,ALL
843,C4721532,0.62,1.00,NULL,2002,2017,ALL
845,C0042514,0.69,1.00,NULL,2001,2017,ALL
845,C1631597,0.70,0.98,NULL,2001,2019,ALL
845,C2677794,0.95,1.00,strong,2001,2018,ALL
846,C0020502,0.70,0.97,NULL,1996,2019,ALL
846,C0342637,1.00,0.99,NULL,1976,2020,ALL
846,C1809471,0.70,0.99,NULL,1991,2018,ALL
846,C1832615,0.80,0.96,strong,1995,2020,ALL
846,C3715128,0.92,1.00,strong,1994,2019,ALL
846,C4048195,0.70,1.00,NULL,1995,2019,ALL
847,C0020538,0.60,0.96,NULL,2001,2020,ALL
847,C0268419,0.70,1.00,strong,1988,2019,ALL
